step,auc
1,0.5
2,0.569
3,0.627936
4,0.669048
5,0.7163179999999999
6,0.749448
7,0.7775540000000001
8,0.8044199999999999
9,0.8282740000000001
10,0.852216
11,0.8729459999999999
12,0.893454
13,0.9053599999999998
14,0.914914
15,0.9253579999999999
16,0.938814
17,0.944334
18,0.9507939999999999
19,0.951478
20,0.957824
21,0.962322
22,0.9657159999999999
23,0.970038
24,0.9745399999999999
25,0.975756
26,0.9777919999999999
27,0.9787359999999999
28,0.9826400000000001
29,0.983166
30,0.9864620000000001
31,0.989096
32,0.9895020000000001
33,0.9898100000000001
34,0.990318
35,0.9925820000000001
36,0.992742
37,0.994222
38,0.995356
39,0.995528
40,0.996754
41,0.997204
42,0.997234
43,0.998306
44,0.998568
45,0.998642
46,0.998612
47,0.99872
48,0.99871
49,0.9988900000000001
50,0.999034
51,0.999112
52,0.999208
53,0.99929
54,0.999338
55,0.999428
56,0.999514
57,0.99963
58,0.999668
59,0.9996860000000001
60,0.99969
61,0.9997059999999999
62,0.999732
63,0.9997379999999999
64,0.999764
65,0.9997959999999999
66,0.999872
67,0.999884
68,0.999902
69,0.999934
70,0.999968
71,0.999968
72,0.999992
73,0.9999739999999999
74,0.999978
75,0.999956
76,0.9999639999999999
77,0.9999739999999999
78,0.999976
79,0.999984
80,0.999988
81,0.9999880000000001
82,0.9999880000000001
83,0.9999880000000001
84,0.9999880000000001
85,0.9999880000000001
86,0.99999
87,0.999992
88,0.999992
89,0.999992
90,0.999992
91,0.999992
92,0.999992
93,0.999992
94,0.999994
95,0.999994
96,0.999994
97,0.999994
98,0.999994
99,0.9999939999999999
100,0.9999960000000001
101,0.9999960000000001
102,0.9999960000000001
103,0.999996
104,0.999998
105,0.999998
106,0.999998
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
