fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.002,0.9999999999644507
0.0,0.102,0.053933227205726485
0.014,0.102,0.0025036376952183343
0.014,0.106,0.002215998998802805
0.016,0.106,0.001994346484452814
0.016,0.108,0.001946717385040194
0.018,0.108,0.001844408719370327
0.018,0.11,0.0017046176487120585
0.04,0.11,0.00116854923059667
0.04,0.116,0.0009772592031768454
0.042,0.116,0.0009518789313147191
0.042,0.12,0.0009251378316859042
0.046,0.12,0.0008233482030591097
0.046,0.122,0.0007975437868793655
0.058,0.122,0.000585098508466751
0.058,0.124,0.0005506074801543974
0.062,0.124,0.0005190608702375517
0.062,0.136,0.00042726041696997027
0.064,0.136,0.00042575571946012705
0.064,0.138,0.0004040743294009294
0.066,0.138,0.00038803428632367104
0.066,0.144,0.0003760647887057532
0.07,0.144,0.00034986642305646746
0.07,0.146,0.0003433311697525493
0.072,0.146,0.0003374127148677544
0.072,0.148,0.0003364506090486784
0.074,0.148,0.00033294581624763195
0.074,0.15,0.0003323951926494193
0.076,0.15,0.0003252765360789476
0.076,0.154,0.0003237390242683958
0.078,0.154,0.00030298644383668224
0.078,0.16,0.0002816741752478002
0.08,0.16,0.00028137735595330635
0.08,0.164,0.00027290841505635743
0.086,0.164,0.00025820335701793337
0.086,0.166,0.00025134918865569035
0.088,0.166,0.0002507268172031071
0.088,0.168,0.00024259789351359175
0.092,0.168,0.00023999527506478495
0.092,0.176,0.00022475068699964905
0.096,0.176,0.0002185839744513498
0.096,0.178,0.0002140857692238342
0.102,0.178,0.00020916070888804615
0.102,0.18,0.00020668242418835732
0.104,0.18,0.00020558184383649735
0.104,0.182,0.00020344010493816183
0.112,0.182,0.00018266548032351657
0.112,0.184,0.00018057720973351193
0.114,0.184,0.00018011745171332317
0.114,0.186,0.0001751450351364233
0.126,0.186,0.00016971239718757277
0.126,0.188,0.0001655700824042233
0.128,0.188,0.00016519085326499087
0.128,0.196,0.0001562273682301327
0.13,0.196,0.00015448402047733723
0.13,0.198,0.00015391155102726476
0.132,0.198,0.0001516914895264065
0.132,0.204,0.0001436577935044339
0.134,0.204,0.00014324577069415627
0.134,0.206,0.0001427725343062371
0.138,0.206,0.00013433304930010636
0.138,0.208,0.00013417428671706213
0.142,0.208,0.0001269107010321999
0.142,0.21,0.00012617408205763795
0.144,0.21,0.00012475472218883592
0.144,0.212,0.0001213075494910172
0.146,0.212,0.00011989849635821543
0.146,0.214,0.00011600941042971735
0.148,0.214,0.00011584392217165347
0.148,0.216,0.00011579492487159898
0.15,0.216,0.00011481533887875574
