ratio,ks_stat,p_val
1.0,0.63,2.293630844250832e-93
1.5,0.694,1.7319882558528332e-115
2.0,0.732,3.2733196180517815e-130
2.5,0.804,5.75534143866266e-162
3.0,0.8140000000000001,7.725940348029413e-167
4.0,0.828,7.083968919406492e-174
5.0,0.8720000000000001,7.431975799479062e-198
6.0,0.8660000000000001,2.1135208073575268e-194
7.0,0.8960000000000001,2.379750585256952e-212
8.0,0.9279999999999999,1.0513947288182608e-233
9.0,0.906,9.541399936827612e-219
10.0,0.9239999999999999,6.941986994262545e-231
11.0,0.9239999999999999,6.941986994262545e-231
12.0,0.9359999999999999,1.7034246447794303e-239
13.0,0.942,5.55445064188456e-244
14.0,0.9319999999999999,1.4211237605112785e-236
15.0,0.9319999999999999,1.4211237605112785e-236
