ratio,ks_stat_var,p_val_var,ks_stat_signal,p_val_signal
1.0,0.07200000000000006,0.14973189477810775,0.06600000000000006,0.22634729051389657
1.5,0.17399999999999993,5.009206937519233e-07,0.15199999999999997,1.860514654705759e-05
2.0,0.336,2.130629403993496e-25,0.16199999999999998,3.826456804356892e-06
2.5,0.48000000000000004,1.5970385142410795e-52,0.274,6.383314923658339e-17
3.0,0.59,4.596822578312706e-81,0.36000000000000004,3.524517188228115e-29
4.0,0.6940000000000001,1.7319882558528332e-115,0.42200000000000004,2.7216142658077455e-40
5.0,0.712,2.6466465103051234e-122,0.45799999999999996,1.1457016238470832e-47
6.0,0.7999999999999999,4.7246237352363846e-160,0.466,2.1107478954317768e-49
7.0,0.856,8.80451704953212e-189,0.58,3.7030002693665087e-78
8.0,0.882,9.314768944726447e-204,0.592,1.1838550609976188e-81
9.0,0.888,2.1666679423578167e-207,0.594,3.030193631662663e-82
10.0,0.9219999999999999,1.7123567919180945e-229,0.648,2.850543247459864e-99
11.0,0.946,4.768898025717271e-247,0.672,1.5941201467888985e-107
12.0,0.946,4.768898025717271e-247,0.662,4.952719042201231e-104
13.0,0.958,1.1722693624183838e-256,0.674,3.123485114377292e-108
14.0,0.954,2.218188474861325e-253,0.726,8.422536685912957e-128
15.0,0.958,1.1722693624183838e-256,0.704,3.0636758509562734e-119
