ligand_type,r_max,time_weighted_mean_b,time_weighted_variance,total_bound_time,n_binding_events,n_unbinding_events,binding_unbinding_events,mean_bound_dwell_time,total_signal,signal_rate,ratio,time_weighted_variance_observed,total_signal_observed
ag,50,1.937199578416391,1.274235834225908,1937.199578416391,1938,1937,3875,1.0001030348045385,3437,3.437,2.5,1.3007685804838764,2342.1043892620696
ag,50,1.5944079933663762,1.03540576695573,1594.407993366376,1589,1588,3177,1.004035260306282,2204,2.204,2.5,1.0030469913841409,2436.962679315931
ag,50,3.2342923795178122,2.1004994537074415,3234.292379517812,3243,3239,6482,0.9985465821296117,9252,9.252,2.5,2.2008037056419494,8375.787143346397
ag,50,0.33634545169483654,0.2232171888190329,336.3454516948365,334,334,668,1.0070223104635825,75,0.075,2.5,0.2689244873222447,64.60088424620434
ag,50,0.9806155603054029,0.6623217402067305,980.6155603054028,994,994,1988,0.9865347689189163,864,0.864,2.5,0.6680075122733676,881.9161459829916
ag,50,1.3285355173922748,0.8504888579869437,1328.5355173922749,1308,1307,2615,1.0164770599787871,1528,1.528,2.5,0.8320437878246336,1213.382366314599
ag,50,1.009617852097787,0.6571597027815701,1009.6178520977869,997,996,1993,1.0136725422668542,820,0.82,2.5,0.7394500300577381,783.468822980985
ag,50,1.030670351193999,0.6703344046818488,1030.670351193999,968,966,1934,1.066946533327121,851,0.851,2.5,0.54992431244845,918.711499110687
ag,50,0.6392877540410395,0.427371344596204,639.2877540410395,665,664,1329,0.9627827621099992,319,0.319,2.5,0.49395384227383426,422.94789692288754
ag,50,1.865176177473571,1.2669109158177252,1865.176177473571,1949,1948,3897,0.9574826373067613,3180,3.18,2.5,1.4103128328848133,3242.6363485540955
ag,50,2.194446764056596,1.4458690275938095,2194.446764056596,2219,2216,4435,0.9902738104948537,4181,4.181,2.5,1.5665249028121537,3812.372008340046
ag,50,0.9369891330346204,0.6350998547398485,936.9891330346204,952,952,1904,0.9842322825993912,742,0.742,2.5,0.4679154349782826,937.8030377269029
ag,50,2.307750336462117,1.5754338960243444,2307.7503364621166,2274,2274,4548,1.014841836614827,4574,4.574,2.5,1.7989024212918543,5648.144143771248
ag,50,1.2781453257349262,0.8481808911814801,1278.1453257349262,1292,1291,2583,0.9900428549457213,1411,1.411,2.5,1.0484571710868564,1307.849536933541
ag,50,2.0356066382058997,1.3139015789488928,2035.6066382058998,1975,1972,3947,1.0322548875283468,3532,3.532,2.5,0.9844423794166243,3053.936189743641
ag,50,0.9943556692951374,0.6820147374579436,994.3556692951374,1025,1024,2049,0.9710504582960326,906,0.906,2.5,0.7403162618858787,913.6063959567033
ag,50,1.3232046338224062,0.8596800343978659,1323.204633822406,1258,1256,2514,1.0535068740624252,1477,1.477,2.5,0.9971892296398204,1727.3385057650507
ag,50,1.3084697802224519,0.9229420313718179,1308.4697802224518,1268,1268,2536,1.0319162304593468,1436,1.436,2.5,0.839625616888046,1375.9736213351537
ag,50,1.9454068304323997,1.2918749443205393,1945.4068304323996,1944,1942,3886,1.0017542896150358,3412,3.412,2.5,1.3158096915315525,2631.1004631789683
ag,50,2.2894145631560456,1.4374120087771218,2289.4145631560455,2255,2253,4508,1.0161627000248759,4652,4.652,2.5,1.215236611519424,5139.0793265319
ag,50,1.8627014889384539,1.190833866988206,1862.7014889384538,2010,2008,4018,0.9276401837342898,3234,3.234,2.5,1.3249275944189787,3182.6553615942603
ag,50,2.2775983088848255,1.488144287230741,2277.5983088848257,2275,2274,4549,1.0015823697822452,4412,4.412,2.5,0.9820889731869319,4307.675645702259
ag,50,0.6914682732560258,0.4512828258830557,691.4682732560258,688,687,1375,1.006504036762774,400,0.4,2.5,0.3451209212406994,412.9551257904878
ag,50,0.6410349784397903,0.4228171442974698,641.0349784397903,665,664,1329,0.9654141241563107,376,0.376,2.5,0.39624912820485003,446.5315546164075
ag,50,1.3406112098806364,0.9015877919727201,1340.6112098806364,1331,1330,2661,1.0079783532937114,1523,1.523,2.5,1.0197437139772423,1472.967147122541
ag,50,1.6783730451531889,1.0864053524545019,1678.373045153189,1660,1656,3316,1.0135102929669015,2357,2.357,2.5,1.1056969644202972,2405.2765354421103
ag,50,1.9904573713274991,1.3069648645300709,1990.457371327499,2040,2037,4077,0.9771513850405003,3681,3.681,2.5,1.3519654696064998,2232.4820900541213
ag,50,0.6850076359159863,0.45005489660165326,685.0076359159864,677,676,1353,1.0133249052011633,435,0.435,2.5,0.4930941955038965,434.7143038376677
ag,50,1.9323646299364734,1.3189815325103453,1932.3646299364734,1949,1947,3896,0.9924831175842185,3344,3.344,2.5,1.2909872737454662,2241.3951861825462
ag,50,1.6733066466583877,1.0948453715626214,1673.3066466583878,1691,1688,3379,0.9912954067881444,2468,2.468,2.5,1.0918264472816668,3201.211918728832
ag,50,1.6650187083328838,1.055726307440569,1665.0187083328838,1617,1615,3232,1.0309713364290303,2426,2.426,2.5,0.991672951624642,2028.977401570284
ag,50,2.2608298481797062,1.5171137431215111,2260.829848179706,2276,2273,4549,0.9946457757059859,4680,4.68,2.5,1.7763231410333977,4978.646756882153
ag,50,1.2854858536123084,0.8577795896923673,1285.4858536123083,1301,1300,2601,0.988835272009468,1464,1.464,2.5,1.0061365955001123,1701.8720350990463
ag,50,2.271967180124256,1.4217258813128117,2271.967180124256,2266,2263,4529,1.0039625188352876,4741,4.741,2.5,1.3228394923368776,6422.4698175083895
ag,50,0.9556626015674785,0.6338659845358104,955.6626015674785,991,991,1982,0.9643416766573951,747,0.747,2.5,0.6884226666534806,927.8738781084413
ag,50,1.5734933618402123,1.081757396972625,1573.4933618402122,1659,1658,3317,0.949030978190719,2262,2.262,2.5,1.047395483751678,2506.9084528674307
ag,50,2.3685804914798614,1.5364987887570905,2368.5804914798614,2338,2336,4674,1.0139471282019954,4833,4.833,2.5,1.7297316682439585,4502.009881836129
ag,50,0.6684843317890887,0.43390818686830995,668.4843317890887,649,649,1298,1.0300220828799518,332,0.332,2.5,0.49447051856911717,301.1352736265533
ag,50,1.3812840721760375,0.8751185669627178,1381.2840721760376,1296,1295,2591,1.0666286271629635,1608,1.608,2.5,0.9292019372630254,1358.144744427539
ag,50,1.3387974769264528,0.9469221560098704,1338.7974769264529,1322,1321,2643,1.013472730451516,1608,1.608,2.5,0.9922880565837197,1388.7529794973887
ag,50,1.0093209455449736,0.6634150718458923,1009.3209455449737,1016,1015,2031,0.9944048724581022,917,0.917,2.5,0.6009146450324792,1052.6996121825975
ag,50,1.6572617330096127,1.114455446566223,1657.2617330096127,1605,1603,3208,1.033850114166945,2301,2.301,2.5,1.1154855282084533,2683.414432072025
ag,50,1.9883878363790473,1.2847687444746347,1988.3878363790473,1976,1975,3951,1.0067786513311632,3435,3.435,2.5,1.4599385125886304,3697.08360092168
ag,50,1.685963184619467,1.0618987714686896,1685.963184619467,1667,1664,3331,1.0131990292184296,2508,2.508,2.5,0.9531521971555204,2635.638837707839
ag,50,1.933700738115202,1.2823707992624176,1933.700738115202,1977,1976,3953,0.9785934909489888,3173,3.173,2.5,1.211046616945449,3686.2373565437747
ag,50,0.7009629554177548,0.4670218302441009,700.9629554177548,686,684,1370,1.024799642423618,372,0.372,2.5,0.5069055697684602,353.9797366561598
ag,50,1.3180355838345772,0.881976464403959,1318.0355838345772,1290,1289,2579,1.022525666279734,1494,1.494,2.5,0.8593398269733507,1504.7553436983007
ag,50,0.7214277775255803,0.47752282524656564,721.4277775255803,686,686,1372,1.0516439905620703,385,0.385,2.5,0.38968986242678294,381.7006969288692
