ligand_type,r_max,time_weighted_mean_b,time_weighted_variance,total_bound_time,n_binding_events,n_unbinding_events,binding_unbinding_events,mean_bound_dwell_time,total_signal,signal_rate,ratio,time_weighted_variance_observed,total_signal_observed
ag,50,2.9107482649308194,1.8444832629084602,2910.7482649308195,2797,2795,5592,1.0414126171487725,7265,7.265,7,1.784104092692633,6839.167752086614
ag,50,1.3241274252969653,0.8641189873366288,1324.1274252969652,1363,1361,2724,0.972907733502546,1586,1.586,7,1.0180606143036999,1673.9882610241534
ag,50,1.3011498204010103,0.8663135541753383,1301.1498204010104,1321,1319,2640,0.9864668843070586,1585,1.585,7,0.7720907809915603,1464.5676683310526
ag,50,1.9334275082656367,1.3295059141654546,1933.4275082656368,1995,1993,3988,0.9701091361092006,3200,3.2,7,1.5936964992288314,1738.9412050622784
ag,50,1.2836616772643252,0.8693273328543593,1283.6616772643251,1318,1318,2636,0.9739466443583651,1515,1.515,7,0.8890220475825643,1240.4027237016178
ag,50,2.234337122741235,1.4992019624160335,2234.337122741235,2294,2294,4588,0.973991771029309,4528,4.528,7,1.6952119727284929,3184.839670855381
ag,50,2.2907632087511054,1.464119222271118,2290.7632087511056,2242,2240,4482,1.0226621467638863,4493,4.493,7,1.4131469508226657,3939.9464795970466
ag,50,2.290776488124291,1.5493236741451502,2290.776488124291,2266,2264,4530,1.0118270707262769,4590,4.59,7,1.5625497530654224,4253.061616054072
ag,50,1.3373728403470406,0.8536338250249731,1337.3728403470407,1330,1329,2659,1.006300105603492,1410,1.41,7,0.8148565600217011,1491.8853727726862
ag,50,1.6321397703952039,1.1073734172133074,1632.1397703952039,1607,1606,3213,1.0162763202958929,2216,2.216,7,0.9948039031158469,2817.2269189647195
ag,50,2.272729094449269,1.5429439585793647,2272.729094449269,2295,2294,4589,0.9907275913030814,4639,4.639,7,1.5426043845485276,4850.36353323102
ag,50,0.9845086787899999,0.6705217050183984,984.50867879,1005,1005,2010,0.9796106256616915,734,0.734,7,0.622905718329995,661.8634994026436
ag,50,2.20620961629396,1.4461856669783606,2206.20961629396,2289,2287,4576,0.9646740779597552,4600,4.6,7,1.0011004053092571,5387.144941604125
ag,50,2.219433631612264,1.520880757571317,2219.433631612264,2304,2298,4602,0.965810979813866,4775,4.775,7,1.373468528563679,5464.981315646659
ag,50,0.9657265850793653,0.6542845094618658,965.7265850793652,1014,1012,2026,0.9542752816989775,793,0.793,7,0.6432761174300435,717.0403622240759
ag,50,0.9985017166704859,0.609289950490423,998.501716670486,1007,1006,2013,0.9925464380422325,899,0.899,7,0.622554036467347,771.9817646613919
ag,50,1.2881624155417486,0.8411833199067031,1288.1624155417485,1273,1271,2544,1.0135030806780083,1372,1.372,7,1.0882768756663863,1457.3845839211604
ag,50,1.969234522260936,1.3474634736586013,1969.234522260936,1982,1982,3964,0.9935592947835197,3429,3.429,7,1.0891008006597558,4781.264991185967
ag,50,0.9934312861781069,0.6322127175560079,993.4312861781069,969,968,1937,1.0262719898534163,798,0.798,7,0.5181464531459407,781.5212269945357
ag,50,1.6244856849076132,1.0910199401113414,1624.4856849076132,1642,1641,3283,0.9899364319973267,2209,2.209,7,1.282709506208308,2364.1239118415237
ag,50,1.9306754627639178,1.2373728580255365,1930.6754627639177,1936,1935,3871,0.9977650970356164,3229,3.229,7,1.576128496429424,3073.736836962945
ag,50,1.7143395893299749,1.1161390108263358,1714.3395893299748,1689,1686,3375,1.0168087718445877,2563,2.563,7,1.0870282318797344,2782.0055311620754
ag,50,1.3016184398188877,0.8358589026793093,1301.6184398188877,1264,1261,2525,1.032211292481275,1423,1.423,7,0.8851503434948904,1459.734305387768
ag,50,0.9812162359048382,0.6729707976770359,981.2162359048382,1013,1013,2026,0.9686241223147465,893,0.893,7,0.6748689823458017,812.9895467509547
ag,50,0.6937735863362036,0.45067852708971773,693.7735863362036,681,680,1361,1.0202552740238289,346,0.346,7,0.36685122697824657,362.11626297356406
ag,50,0.34586441932293327,0.2262422227693435,345.86441932293326,337,337,674,1.0263039149048465,63,0.063,7,0.20923394917813842,71.91912747422934
ag,50,2.041355838831195,1.3676439645930303,2041.355838831195,1999,1998,3997,1.0216996190346321,3444,3.444,7,1.3301340560193895,3502.1094499160854
