scenario,ratio,readout,ag_median,ag_q1,ag_q3,nag_median,nag_q1,nag_q3,ks_statistic,p_value
S1,1.5,Time-weighted variance of $B(t)$,1.0709527260169445,0.6760033874160244,1.3595060606308946,0.9063618270745333,0.6609110319234909,1.134057838949357,0.17399999999999993,5.009206937519233e-07
S1,1.5,Binding/unbinding event count,3243.0,2045.0,4010.0,3674.5,2698.25,4518.75,0.19,2.6432236373503887e-08
S1,1.5,Mean bound dwell time,1.0008566844640405,0.9809041422410713,1.0172358055089123,0.66575246249777,0.6554334032917943,0.6771571832515183,1.0,1.1815522504480192e-298
S1,1.5,Signal-production rate,2.311,0.88275,3.59825,1.984,0.9570000000000001,3.068,0.15199999999999997,1.860514654705759e-05
S2,4.0,Time-weighted variance of $B(t)$,1.0808201839123783,0.8289039529261237,1.4455802728953042,0.47981750657430305,0.30808096009620584,0.6463173668906824,0.6940000000000001,1.7319882558528332e-115
S2,4.0,Binding/unbinding event count,3289.5,2567.0,4456.25,4389.0,2743.5,6035.0,0.32199999999999995,2.5346885339497214e-23
S2,4.0,Mean bound dwell time,0.9984833851138192,0.9818155624364455,1.0143281902878376,0.2499051810994723,0.24645729724202095,0.2542449280185983,1.0,7.554365129376505e-297
S2,4.0,Signal-production rate,2.382,1.39425,4.3705,1.048,0.405,2.01225,0.42200000000000004,2.7216142658077455e-40
S3,10.0,Time-weighted variance of $B(t)$,1.065191443858136,0.6838453971515898,1.35807292708222,0.22231712503044826,0.1729684897364407,0.28303120668192555,0.9219999999999999,1.7123567919180945e-229
S3,10.0,Binding/unbinding event count,3256.5,2028.75,4040.5,4713.5,3680.0,5847.5,0.398,9.341018516430365e-36
S3,10.0,Mean bound dwell time,1.0014114033847745,0.9863635317527772,1.0197686105431067,0.0998770362379314,0.09854787336820481,0.1013589803938281,1.0,1.5078269109037788e-296
S3,10.0,Signal-production rate,2.332,0.893,3.7089999999999996,0.4675,0.26625,0.80775,0.648,2.850543247459864e-99
