step,auc
1,0.533
2,0.5703679999999999
3,0.61642
4,0.6263640000000001
5,0.631042
6,0.6509940000000001
7,0.671706
8,0.678188
9,0.687326
10,0.7021980000000001
11,0.7123820000000001
12,0.7266540000000001
13,0.7338719999999999
14,0.74231
15,0.7540460000000001
16,0.763564
17,0.764734
18,0.7724939999999999
19,0.777822
20,0.785578
21,0.78849
22,0.7916439999999999
23,0.801888
24,0.806338
25,0.8126860000000001
26,0.811004
27,0.816926
28,0.817958
29,0.826464
30,0.832124
31,0.8374520000000001
32,0.8408519999999999
33,0.84526
34,0.85172
35,0.8580779999999999
36,0.859012
37,0.8632800000000002
38,0.8691540000000001
39,0.8744320000000001
40,0.880822
41,0.884326
42,0.884158
43,0.8887700000000001
44,0.888576
45,0.889776
46,0.89161
47,0.8920659999999999
48,0.8944780000000001
49,0.90053
50,0.9042819999999999
51,0.90505
52,0.9097280000000001
53,0.9106580000000001
54,0.91365
55,0.914558
56,0.91535
57,0.91578
58,0.9182400000000001
59,0.920236
60,0.92035
61,0.9207739999999999
62,0.921482
63,0.922496
64,0.9228920000000002
65,0.92458
66,0.926488
67,0.929368
68,0.933176
69,0.9354720000000001
70,0.93629
71,0.938158
72,0.939612
73,0.941322
74,0.942258
75,0.944016
76,0.946374
77,0.947602
78,0.947542
79,0.948664
80,0.948956
81,0.949504
82,0.9504119999999999
83,0.95243
84,0.9538260000000001
85,0.954904
86,0.95605
87,0.958212
88,0.958734
89,0.9597460000000001
90,0.960416
91,0.9614459999999999
92,0.961538
93,0.96173
94,0.9620380000000002
95,0.963546
96,0.9637899999999999
97,0.9650839999999998
98,0.965102
99,0.965812
100,0.9673820000000001
101,0.96753
102,0.9685760000000001
103,0.9679520000000001
104,0.969078
105,0.9699399999999999
106,0.9705259999999999
107,0.970514
108,0.971612
109,0.972148
110,0.973624
111,0.9744879999999999
112,0.97503
113,0.976214
114,0.975666
115,0.976048
116,0.977024
117,0.976834
118,0.97763
119,0.9782899999999999
120,0.9781139999999999
121,0.9779340000000001
122,0.979144
123,0.9806619999999999
124,0.981734
125,0.9827440000000001
126,0.9827319999999999
127,0.9828859999999999
128,0.982782
129,0.983498
130,0.982976
131,0.98301
132,0.9827459999999999
133,0.98311
134,0.9832479999999999
135,0.983372
136,0.984574
137,0.984916
138,0.985234
139,0.98529
140,0.985768
141,0.9858399999999999
142,0.9864240000000001
143,0.986892
144,0.98668
145,0.98686
146,0.98731
147,0.987332
148,0.987358
149,0.987788
150,0.988372
151,0.98871
152,0.9895839999999999
153,0.9901319999999999
154,0.98996
155,0.9901
156,0.989884
157,0.9902060000000001
158,0.9907459999999999
159,0.9913359999999999
160,0.9919
161,0.992184
162,0.992338
163,0.9921220000000001
164,0.992172
165,0.9921499999999999
166,0.9922080000000001
167,0.9925379999999999
168,0.9924019999999999
169,0.9929220000000001
170,0.993284
171,0.993444
172,0.993614
173,0.99386
174,0.994072
175,0.994246
176,0.994348
177,0.99472
178,0.9947539999999999
179,0.99494
180,0.995084
181,0.99501
182,0.994788
183,0.994718
184,0.99478
185,0.99491
186,0.994904
187,0.995278
188,0.9953620000000001
189,0.995634
190,0.996056
191,0.99602
192,0.9961819999999999
193,0.996288
194,0.99638
195,0.996406
196,0.996564
197,0.996624
198,0.9968159999999999
199,0.9969399999999999
200,0.9968180000000001
