fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.538,1.0
0.0,0.544,0.9999999999999996
0.0,0.556,0.9999999999999991
0.0,0.922,4.689110106368925e-67
0.014,0.922,7.219820788975858e-75
0.014,0.924,4.702053870797382e-75
0.028,0.924,1.428876478620125e-76
0.028,0.926,8.242566796405151e-77
0.036,0.926,4.408478681630279e-77
0.036,0.928,4.400431417480585e-77
0.048,0.928,2.736464875992466e-77
0.048,0.93,2.4467270473871192e-77
0.114,0.93,2.8772819544769915e-79
0.114,0.934,2.3137579102619315e-79
0.132,0.934,1.1429660140384148e-79
0.132,0.936,1.0408533905706374e-79
0.176,0.936,1.0673653830323091e-80
0.176,0.938,1.0059120559912656e-80
0.186,0.938,5.556700853447956e-81
0.186,0.94,4.33321824448023e-81
0.196,0.94,3.2442902014317477e-81
0.196,0.942,3.2177911230951155e-81
0.202,0.942,2.5590373175210802e-81
0.202,0.944,2.313755518069455e-81
0.216,0.944,1.302861929560339e-81
0.216,0.946,1.2959469842916228e-81
0.234,0.946,3.277033537909659e-82
0.234,0.948,2.7631449811707416e-82
0.262,0.948,9.360575454974737e-83
0.262,0.95,8.932644840903534e-83
0.348,0.95,2.5822947660610428e-84
0.348,0.952,2.4533668122529836e-84
0.356,0.952,1.5289681891120502e-84
0.356,0.954,1.5239676174055685e-84
0.362,0.954,1.301781197810561e-84
0.362,0.956,1.2735955719175597e-84
0.394,0.956,4.9793060216424897e-85
0.394,0.958,4.951144722168422e-85
0.474,0.958,1.318277488274785e-86
0.474,0.962,1.2158810883879169e-86
0.52,0.962,2.52076871795728e-87
0.52,0.968,1.8335701120373998e-87
0.586,0.968,1.3009462730905046e-88
0.586,0.97,1.1678070697941855e-88
0.636,0.97,1.559951293399624e-89
0.636,0.972,1.4737086823371745e-89
0.646,0.972,1.0874658113402873e-89
0.646,0.976,9.241566417929952e-90
0.652,0.976,7.808999483046218e-90
0.652,0.978,7.551890287589867e-90
0.68,0.978,1.4658128987911943e-90
0.68,0.982,1.2853114133196661e-90
0.714,0.982,2.9633629829036685e-91
0.714,0.984,2.734772470340252e-91
0.788,0.984,6.579952364520172e-93
0.788,0.986,5.771742412777915e-93
0.826,0.986,6.108587380871913e-94
0.826,0.988,5.484876979811195e-94
0.868,0.988,5.7844639155373114e-95
0.868,0.99,5.197137098349553e-95
0.882,0.99,2.5226505384493823e-95
0.882,0.992,2.0549916103317756e-95
0.908,0.992,1.6376641272461036e-96
0.908,0.994,1.2579524583574637e-96
0.972,0.994,1.912160754821022e-100
0.972,0.996,1.886797281903144e-100
0.976,0.996,1.053874927931024e-100
0.976,0.998,3.980110977687667e-101
0.99,0.998,1.4317737526065322e-103
0.99,1.0,1.392106692671577e-103
1.0,1.0,1.0994094947221167e-111
