class,n,n_zero_dropped,n_unique,gamma_params,gamma_ks,gamma_p,lognorm_params,lognorm_ks,lognorm_p,weibull_params,weibull_ks,weibull_p,loglogistic_params,loglogistic_ks,loglogistic_p,pareto_params,pareto_ks,pareto_p,seed,class_
ag,1000,7,993,"(1.0946310243508495, 0, np.float64(0.001191295051924546))",0.043145289525858055,0.0481556492801426,"(np.float64(1.1147877016807726), 0, np.float64(0.0007738043304527051))",0.04656872341121787,0.026096293482201105,"(np.float64(1.0168655773749211), 0, np.float64(0.001313854690034989))",0.041766093377515356,0.06082854638903712,"(np.float64(1.6045095293435143), 0, np.float64(0.0008185568625401434))",0.030762767815600056,0.29816016284116276,"(np.float64(1.6045095293435143), 0, np.float64(0.0008185568625401434))",0.3719322316163788,8.624816495203997e-124,0,ag
nag,1000,247,753,"(0.89216486729572, 0, np.float64(1.921207009664012e-06))",0.0408455508121216,0.15765946532810626,"(np.float64(1.4357887577524713), 0, np.float64(8.894644564761821e-07))",0.10194242570583123,2.8881821056611117e-07,"(np.float64(0.9475124828071527), 0, np.float64(1.6750784893601646e-06))",0.04029465477105176,0.16868663408223228,"(np.float64(1.2911258524723968), 0, np.float64(1.0428397446428516e-06))",0.07214277444636341,0.0007466693482341106,"(np.float64(1.2911258524723968), 0, np.float64(1.0428397446428516e-06))",0.41864948881809766,4.3211854580230694e-120,0,nag
bg,1000,0,1000,"(10.363162511351646, 0, np.float64(3.319545074048169e-08))",0.02463040837561359,0.5702373294105492,"(np.float64(0.31936894403182475), 0, np.float64(3.2755213760204753e-07))",0.044954458530838126,0.03406219337816474,"(np.float64(3.3701735398351422), 0, np.float64(3.821853022561118e-07))",0.05102362689663531,0.010571733655980504,"(np.float64(0.10855804001145652), 0, np.float64(3.269999159177931e-07))",0.47626571396134865,6.535328256419631e-209,"(np.float64(0.10855804001145652), 0, np.float64(3.269999159177931e-07))",0.41492570730683637,2.2483388334365608e-156,0,bg
ag,1000,5,995,"(1.0155963645198198, 0, np.float64(0.0012789263747161551))",0.041597496803933987,0.062126588166710794,"(np.float64(1.1941269065171987), 0, np.float64(0.0007365132387945862))",0.06231437194358852,0.0008411626476558888,"(np.float64(0.9854603786280942), 0, np.float64(0.0012903041305702037))",0.03767058419380043,0.11574312752833682,"(np.float64(1.5013972174009207), 0, np.float64(0.0007946462948767392))",0.0361348075324896,0.14516349514903815,"(np.float64(1.5013972174009207), 0, np.float64(0.0007946462948767392))",0.3787326025831152,9.170798613412445e-129,1,ag
nag,1000,221,779,"(0.9034058423064617, 0, np.float64(1.9044684809883421e-06))",0.0284541015564371,0.5440423380175905,"(np.float64(1.3957003539320894), 0, np.float64(9.010499079984006e-07))",0.08721021975957455,1.3251513121605075e-05,"(np.float64(0.9460114166824154), 0, np.float64(1.679082330059643e-06))",0.025832307642056768,0.666169640185821,"(np.float64(1.3305717226921245), 0, np.float64(1.0376231978018884e-06))",0.05662299208287247,0.013010818454738735,"(np.float64(1.3305717226921245), 0, np.float64(1.0376231978018884e-06))",0.41382628145249045,2.939194191914781e-121,1,nag
bg,1000,0,1000,"(11.018312314359221, 0, np.float64(3.1586347020385374e-08))",0.02902638519795464,0.361597272184624,"(np.float64(0.31360628820200587), 0, np.float64(3.32360013761819e-07))",0.04865275709552641,0.01699340272375361,"(np.float64(3.71894834670057), 0, np.float64(3.85265446268967e-07))",0.03746945459253226,0.11762960967400704,"(np.float64(0.10855804053938606), 0, np.float64(3.3192699188800713e-07))",0.48027750347378617,1.1574885223523571e-212,"(np.float64(0.10855804053938606), 0, np.float64(3.3192699188800713e-07))",0.40659434145179857,6.538771343643473e-150,1,bg
ag,1000,5,995,"(1.0022704683022998, 0, np.float64(0.0012811292457639936))",0.04085188559032149,0.07024993639853416,"(np.float64(1.1853955276089294), 0, np.float64(0.0007219891513858763))",0.06066636094333283,0.0012611729919394666,"(np.float64(0.973743628650886), 0, np.float64(0.0012681251474675587))",0.03598480797385806,0.14833459866102716,"(np.float64(1.4865546353249233), 0, np.float64(0.0007688720001500473))",0.03990832781470793,0.08180860332605988,"(np.float64(1.4865546353249233), 0, np.float64(0.0007688720001500473))",0.3587755246132017,3.5608513937766053e-115,2,ag
nag,1000,231,769,"(1.0131623433670438, 0, np.float64(1.6783296412872491e-06))",0.026307032415539222,0.6517311643412342,"(np.float64(1.2765438215287397), 0, np.float64(9.627406135291209e-07))",0.09126157790001194,5.043331791204445e-06,"(np.float64(1.011377048225231), 0, np.float64(1.7083941832850043e-06))",0.02503618739303226,0.7109406483775331,"(np.float64(1.440505867550552), 0, np.float64(1.0864457437784975e-06))",0.05756781057775617,0.011742226560369261,"(np.float64(1.440505867550552), 0, np.float64(1.0864457437784975e-06))",0.4208712470217838,5.42737805921778e-124,2,nag
bg,1000,0,1000,"(11.588605387437136, 0, np.float64(2.959951282647583e-08))",0.01464904128604877,0.98067449434222,"(np.float64(0.3000421164772409), 0, np.float64(3.283284020180589e-07))",0.033666763150626555,0.2024411050398427,"(np.float64(3.547903762693938), 0, np.float64(3.8004242809369786e-07))",0.04931822164453836,0.014907700250175399,"(np.float64(0.10855803997369995), 0, np.float64(3.2777204422431463e-07))",0.4776269403105087,3.521890931473108e-210,"(np.float64(0.10855803997369995), 0, np.float64(3.2777204422431463e-07))",0.39603873706099296,6.066481696900091e-142,2,bg
ag,1000,6,994,"(1.0582261146180365, 0, np.float64(0.0012155242389399218))",0.05197603682467522,0.008967447565418212,"(np.float64(1.1461077025177453), 0, np.float64(0.0007481625436331176))",0.0508653020336009,0.011264408395473786,"(np.float64(1.00270872416485), 0, np.float64(0.0012878660626610343))",0.04678233310930502,0.02496911949453995,"(np.float64(1.5592504891351233), 0, np.float64(0.0007928961857735889))",0.02960134565728112,0.3417876821141954,"(np.float64(1.5592504891351233), 0, np.float64(0.0007928961857735889))",0.39665466595213783,1.5000954222379596e-141,3,ag
